NAME,STATEFP,avg_drought_severity,percent_drought_area,lisa_map
Union,47,0.9999999999999964,99.99999999999964,0
Mineral,54,1.4709027247698983,100.00000000000033,0
Ashland,55,0.0,18.464232949784606,3
Ford,17,0.0,19.021139152158742,3
Emmons,38,0.0,3.076631016264474,3
Shasta,06,0.0,99.99999999999955,3
Vermilion,22,0.0,62.181216740596824,3
Randolph,05,3.7014792783185486,100.00000000000009,1
Oneida,55,0.0,0.0,3
East Carroll,22,2.3174939655407076,100.0,1
East Feliciana,22,0.0,11.723063703219848,3
St. Bernard,22,0.35285639807486024,24.690498288802406,3
Wharton,48,0.6498996077131443,99.99999999999997,0
Floyd,48,2.797214735522892,100.00000000000003,1
Madison,21,1.8797467453391652,100.00000000000013,0
Brunswick,51,2.6764254064944235,99.99999999999983,1
Dyer,47,2.0929939103518636,99.99999999999969,1
Gibson,47,2.463720296150723,99.99999999999983,0
Prince George,51,1.9081082839049814,95.40541419524907,0
Lawrence,05,3.999999999999977,99.99999999999942,1
Eddy,38,0.0,0.0,3
Pierce,53,0.0,2.3836055764183177,3
Sagadahoc,23,0.04033741463417138,69.36142137182527,0
Sweet Grass,30,1.606294153763266,100.0,0
Grayson,48,0.017401883763031808,36.55793285692248,3
Greene,42,0.0,0.0,3
Ellis,20,1.9999999999999991,99.99999999999996,0
Hale,01,0.9999999999999989,99.99999999999989,0
Perry,01,0.9999999999999979,99.99999999999979,0
Colbert,01,1.1467975439658213,99.99999999999977,0
Pratt,20,1.4751661292470102,100.00000000000004,0
Bourbon,21,0.9694549219205792,100.00000000000013,0
Rutherford,47,1.0,100.0,0
Cook,13,3.703442718304552,100.00000000000031,1
Lane,20,2.000000000000002,100.00000000000011,0
Harper,40,3.000000000000001,100.00000000000004,1
Piatt,17,0.0,0.0,3
Crosby,48,2.4373817902680006,100.0,1
Baca,08,2.9991043707910783,100.00000000000013,1
Boundary,16,0.9749842038679516,99.99999973757265,0
Bear Lake,16,1.729492251297443,100.00000000000011,0
Union,39,0.0,0.0,3
Cuyahoga,39,0.0,0.0,3
Lavaca,48,1.4982995552534508,99.99999999999997,0
Nowata,40,0.08836594945700257,93.86286053577315,3
Glascock,13,1.2991828904621763,99.99999999999972,0
Umatilla,41,1.3811666735598693,99.99999999999997,0
Oglala Lakota,46,2.9752985827338168,100.00000000000071,1
Delaware,18,0.0,0.0,3
Levy,12,2.4273221812396306,70.87561375953295,1
Hancock,28,0.0,87.49590822161993,3
Wilcox,13,2.9865803310206696,100.00000000000007,1
Red River,22,2.976247190867255,100.0000000000004,1
Knox,47,1.0000094723400474,100.0000000000002,0
Oxford,23,0.5790506778643981,99.9810173912439,0
Norfolk,25,0.9160512919690165,91.60512919690164,0
Hendricks,18,0.0,0.0,3
Jackson,17,0.19164416501676937,99.99999999999997,3
Georgetown,45,2.4311055421989587,81.03685140663195,1
Hettinger,38,0.0,0.0,3
Grand,49,3.0000000000000027,100.00000000000009,1
Tooele,49,2.7964589173046397,100.00000000000016,1
Hampton,51,0.7301659502355207,39.14275095678556,0
Buffalo,55,0.0,99.99999999999999,3
Frederick,51,1.000000000000002,100.0000000000002,0
Lewis,54,0.8552901326531689,99.99999999999962,0
Polk,27,0.0,19.871769195905557,3
Redwood,27,0.0,99.99999999999942,3
Fayette,47,0.0,99.99999999999983,3
Lincoln,41,5.222132290142205e-05,68.1334532983461,0
York,23,1.3587685066760553,80.1042795274133,0
Codington,46,0.0,99.99999999999969,3
Pike,13,3.0,100.0,1
Stewart,13,2.80845622972614,99.99999999999986,1
Monmouth,34,0.8903290435687568,72.22060283039347,0
Clay,05,3.9172379779842434,100.00000000000013,1
Faulkner,05,3.000000000000002,100.00000000000007,1
Delaware,40,0.3975109746775914,97.93796432800134,0
Keokuk,19,0.0,0.0,3
Greene,17,0.0,0.0,3
Lake,27,0.0,0.06714095236528125,3
Troup,13,2.086484301902058,99.99999999999997,1
Humboldt,06,0.0,88.68997678977924,3
Dickson,47,1.0001172163630958,99.99999999999982,0
Raleigh,54,2.0000000000000018,100.00000000000009,1
Chaves,35,1.9009106259913233,100.00000000000003,0
Santa Fe,35,2.0000000000000036,100.00000000000017,1
Orange,06,0.0,0.0,3
Santa Cruz,04,0.09405818298008833,51.930505208068645,0
Currituck,37,0.7160754397644495,50.06388049411912,0
Lawrence,17,0.0,0.042811750919432935,3
Webster,31,1.0315224999720163,99.99999999999999,0
Hancock,17,0.0,0.0,3
Hutchinson,46,1.999999999999999,99.99999999999994,1
Crook,41,2.0051208121643715,99.9999999999998,0
Franklin,50,0.0,0.0,3
Marquette,26,0.0,0.0,3
Davidson,37,2.9067171357533597,99.99999999999983,1
Clay,17,0.0,1.3170018910752819,3
Knox,29,0.0,0.0,3
Livingston,29,0.0,0.0,3
Tioga,42,0.0,0.0,3
Dakota,31,1.0030136386455017,100.00000000000004,0
Leelanau,26,0.0,0.0,3
Surry,51,1.8234224196648925,91.17112098324462,0
Moniteau,29,0.0,0.0,3
Westmoreland,51,2.6968342649589316,89.89447549863105,1
Yadkin,37,3.000000000000009,100.00000000000031,1
Merced,06,0.0,8.808009026600951,3
Dewey,40,2.5849508250059854,99.99999999999994,1
Burke,37,2.3204886458998084,100.00000000000027,1
Wayne,37,2.000000000000003,100.00000000000016,1
Warren,42,0.0,0.0,3
Howard,05,2.7328702763037716,99.99999999999986,1
Davie,37,3.0000000000000053,100.00000000000017,1
McDowell,37,2.0000000000000084,100.00000000000043,1
Nevada,05,1.8515813884779728,100.0000000000002,1
Yuma,08,1.456458766309091,99.99999999999999,0
Sherman,48,2.357951358381367,100.00000000000007,1
Uvalde,48,0.6986815891481504,100.00000000000003,0
Auglaize,39,0.0,0.0,3
Bossier,22,3.0000000000000178,100.0000000000006,1
Emmet,19,0.0,99.99999999999991,3
Saline,20,0.2014083071256936,70.28263163265433,0
Magoffin,21,1.632852074459328,100.00000000000003,0
Bailey,48,2.9541490007787545,99.99999999999999,1
Callaway,29,0.0,0.0,3
Albany,56,2.2966939139523252,99.99999999999962,1
Park,56,1.226950649493176,100.00000000000017,0
Montour,42,0.0,3.6583928374612897,3
Queens,36,0.600831972966428,60.0831972966428,0
Suwannee,12,4.0000000000000115,100.00000000000028,1
Cheboygan,26,0.0,0.0,3
Randolph,01,1.9941985784115457,100.00000000000003,0
Ashe,37,2.978778550607143,100.00000000000024,1
Dolores,08,2.0698953254355734,99.99999999999993,1
Licking,39,0.0,0.0,3
Manassas,51,0.9999999999999986,99.99999999999986,0
Union,05,2.6099376816277426,100.00000000000036,1
Henderson,17,0.0,0.0,3
Montgomery,01,2.000000000000005,100.00000000000024,0
Arapahoe,08,1.3729320088832395,100.00000000000004,0
Marion,21,2.102698662932499,100.0,1
Holmes,28,2.0573462145580694,100.00000000000033,1
Oktibbeha,28,1.259820953831998,99.99999999999977,0
Fergus,30,1.473957700516342,100.00000000000024,0
Garrett,24,0.2803143823921452,87.5844127744974,0
Webster,22,2.906485968099451,100.0000000000002,1
Hillsdale,26,0.0,0.0,3
Logan,21,2.471266966753824,100.00000000000011,1
Custer,46,2.9964151476263474,99.99999999999994,1
Merrimack,33,1.5636409973515886,100.00000000000023,0
York,42,1.5542347138772705,100.00000000000009,0
Rutherford,37,1.999999999999993,99.99999999999964,1
Beadle,46,1.0446236254202912,100.00000000000007,0
Cullman,01,5.300591501964152e-06,99.99999999999987,3
Douglas,13,2.986074900823096,100.00000000000011,1
Johnson,31,0.0,0.0,3
Washington,37,1.6223736480682218,88.89147542662693,0
Jones,46,1.0003547731131772,100.00000000000033,0
Ray,29,0.0,0.0,3
Hocking,39,0.0,0.0,3
Lowndes,01,1.9889097971574423,100.00000000000017,0
Candler,13,3.6554649233040606,100.00000000000011,1
Linn,19,0.0,10.58312798940619,3
Trinity,06,0.0,99.99999999999977,3
Muscogee,13,2.000000000000001,100.00000000000004,1
Tallahatchie,28,3.5785737957821184,99.99999999999982,1
Atchison,20,0.0,0.0,3
Douglas,17,0.0,0.0,3
Greene,51,2.1326332846560887,99.99999999999955,1
Waushara,55,0.0,0.0,3
Izard,05,3.4935902707663864,100.00000000000009,1
Monterey,06,0.0,0.0,3
Grant,35,1.9999552527997997,100.00000000000028,0
Miller,29,0.0,0.0,3
Wilkes,37,2.991168051844812,99.99999999999993,1
Decatur,13,2.1921805611003875,99.99999999999983,1
Wayne,18,0.0,0.0,3
Barren,21,2.0000000000000018,100.00000000000009,1
Howard,31,1.9990169206623745,100.00000000000009,0
Dunn,38,0.0,22.04591379848157,3
Amador,06,0.0,100.00000000000048,3
Fentress,47,2.1705624790939373,100.00000000000004,1
Coffey,20,0.0,0.0,3
Branch,26,0.0,0.0,3
Pierce,31,2.038063166542453,99.99999999999993,1
Bleckley,13,2.000000000000001,100.00000000000004,1
Burke,13,1.3631681933488011,100.00000000000016,1
Union,17,0.9989459771052669,99.99999999999993,0
Kankakee,17,0.0,100.00000000000003,3
McIntosh,38,0.0,83.93311776668445,3
Platte,31,1.0000000000000029,100.00000000000028,0
Warren,37,2.999999999999994,99.99999999999979,1
Marion,13,2.5140943420876076,100.00000000000003,1
Fauquier,51,1.3364987947983125,100.00000000000024,0
Radford,51,1.9999999999999998,99.99999999999999,0
Douglas,32,0.0,100.00000000000004,3
Franklin,12,1.5564880538521386,39.45001450177879,1
Greene,18,0.0,0.0,3
Rush,18,0.0,0.0,3
Washington,55,0.0,100.00000000000003,3
Laclede,29,0.0,2.09568347835034,3
Mercer,42,0.0,0.0,3
Linn,41,1.5461592359269722,100.00000000000013,0
Lafayette,55,0.0,12.356084157521924,3
Washington,40,0.7063571455520259,99.99999999999977,0
